Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-02-06,29.44,18.21,11.62,16.48,16.06,17.51,24.3,25.91,23.89,12.99,7.67,20.04,33.74,1.36,33.81,23.61,17.78,21.85,16.78,13.23,10.32,,30.25,18.93,7.37,9.55,22.02,20.17,,22.8,
2020-02-07,27.28,19.65,11.19,17.74,19.01,21.43,31.78,32.11,31.82,11.6,8.46,23.49,37.84,1.56,40.46,25.85,24,27.59,25.92,14.04,19.7,,33.55,24.05,9.56,10.45,25.32,24.39,,30.08,
2020-02-08,22.97,16.46,19.88,26.04,23.59,28.81,29.18,29.01,23.23,27.31,16.01,26.05,42.75,2.23,27.09,41.56,20.49,32.54,17.51,22.74,32.06,,35.22,22.03,19.99,9.67,22.8,21.62,,27.12,
2020-02-09,45.55,22.27,19.72,34.1,49.13,45.73,53.29,45.41,36.03,43.54,19.89,38.81,60.7,2.62,30.34,58.6,24.09,36.51,20.81,31.37,36.72,,34.67,27.65,26.57,10.48,33.6,24.89,,40.23,
2020-02-10,29.34,6.06,15.84,34.04,38.95,21.29,44.32,31.23,29.62,33.69,10.56,42.11,50.94,1.7,48.99,38.19,25.47,37.73,30.51,20.65,43.9,,31.36,32.51,19.72,13.41,28.67,21.95,,39.67,
2020-02-11,26.7,8.28,15.05,24.04,23.88,9,31.53,27.71,27.75,16.93,6.11,22.4,39.45,1.07,29.79,32.17,26.68,41.84,35.8,14.07,46.21,,27.55,21.45,12.5,10.85,28.76,25.68,,26.7,
2020-02-12,33.63,14.38,13.33,33.44,33.96,25.39,37.43,30.84,31.08,35.27,19.14,35.53,47.81,1.94,43.37,36.32,22.63,41.01,31.21,24.38,39.52,,30.39,21.96,12.12,5.6,27.2,20.37,,18.85,
2020-02-13,26.94,14.95,18.12,31.76,35.39,23.14,45.19,35.79,32.06,32.2,11.81,43.58,40.09,1.87,36.32,53.19,20.61,36.93,24.99,27.01,47.36,,38.16,23.01,23.24,5.91,29.72,24.92,,30.88,
2020-02-14,34.1,23.14,17.38,27.32,30.64,34.29,38.14,35.68,34.63,22.42,11.1,33.92,43.83,1.68,40.1,51.67,28.22,46.17,32.98,24.9,42.03,,35.64,21.77,21.42,6.46,28.32,26.88,41.58,26.85,
2020-02-15,31.02,13.11,13.96,23.42,29.16,20.41,35.46,29.1,29.76,22.25,11.3,23.77,45.3,2.54,27.14,34.85,18.73,32.14,30.67,26.47,37.41,,29.92,18.64,14.61,,16.48,17.56,27.83,24.89,
2020-02-16,36.24,19.24,17.17,29.01,30.21,29.83,39.53,27.16,22.39,30.24,8.53,37.35,44,3.23,23.72,50.9,18.52,35.76,28.15,20.85,40.27,,28.61,22.58,22.47,,25.49,20.68,24.78,31.31,
2020-02-17,62.19,26.39,19.3,38.8,46.53,61.61,58.65,43.7,29.97,41.93,14.71,46.19,59.21,4.23,34.63,48.14,24.1,35.4,34.48,23.55,45.59,,36.12,26.2,24.5,,36.7,27.11,31.29,34.53,
2020-02-18,36.53,19.24,14.47,25.46,35.05,32.4,41.99,41.55,43.97,25.04,13.48,31.09,52.64,4.76,43.85,43.27,23.62,38.02,31.38,22.03,43.58,,37.49,27.68,17.53,,24.37,22.37,25.78,22.95,
2020-02-19,32.51,22.84,18.94,27.8,26.41,27.48,28.79,31.93,27.89,27.38,9.66,27.73,44.5,2.28,32.34,33.1,21.32,36.36,32.76,21.46,44.28,,36.59,22.48,21.23,12.34,26.87,25.18,18.07,18.52,
2020-02-20,33.24,17.61,13.33,21.7,18.99,25.7,29.58,30.73,27.6,18.39,6.89,22.22,41.19,1.48,31.37,30.58,21.51,22.79,28.01,14.97,45.73,,30.18,23.71,10.78,11.42,14.35,16.41,20.43,16.79,
2020-02-21,41.32,15.58,12.75,27.15,33.22,26.8,37.53,35.92,34.44,26.85,10.56,30.61,45.2,1.29,38.18,37.99,20.65,26.06,22.54,15.02,33.67,,34.68,21.37,15.51,11.58,16.87,19.84,19.82,,
2020-02-22,28.33,11.24,15.75,27.89,30.82,23.04,37.74,33.03,32.81,22.97,13.3,26.43,52.18,1.96,27.57,32.62,21.22,18.01,26.68,16.48,24.26,,31.67,17.05,16.54,10.93,19.09,18.22,20.62,,
2020-02-23,35.52,12.62,15.71,40.54,45.12,33.75,49.68,42.76,38.17,29.83,14.29,41.55,59.02,1.6,37.91,60.81,21.35,35.77,24.01,21.86,53.27,,34.97,25.11,24,8.09,37.32,25.74,35.44,,
2020-02-24,30.46,14.82,19.8,23.49,26.11,29.28,41.29,36.39,31.42,25.83,11.22,29.32,47.07,1.39,39.89,36.55,22.88,27.88,29.03,28.64,46.6,,38.78,28.85,23.6,9.46,32.73,33.51,32.96,,
2020-02-25,45.57,35.02,21.16,40.57,42.46,37.88,45.21,43.94,38.97,43.49,12.28,44.36,58.66,1.48,42.83,60.46,27.31,35.65,38.48,29.52,58.9,,41.92,39.33,18.66,10.83,24.09,20.45,32.88,,
2020-02-26,28.41,8.88,16.39,23.26,27.16,33.38,37.12,32.85,30.55,20.39,12.96,29.07,53.06,1,31.2,48.15,23.61,28.26,44.64,32.92,50.96,,32.13,21.28,8.47,15.43,19.1,21.47,28.52,24.47,9.98
2020-02-27,24.12,10.99,15.28,16.17,19.41,12.9,29.32,29.92,30.68,13.2,6.89,20.12,41.67,0.66,30.62,27.67,20.92,33.74,27.25,12.56,38.55,,26.13,18.86,13.49,8.94,21.23,22.14,18.15,18.92,13.58
2020-02-28,23.83,11.46,11.42,18.62,17.49,14.05,28.55,30.64,26.5,13.8,6.09,21.79,35.03,0.71,35.18,42.33,24.34,,34.01,19.17,34.67,,35.13,17.54,13.71,7.25,22.3,24.3,32.67,25.41,10.38
