Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Beograd Vracar,Novi Sad Liman,Smederevo Carina,Smederevo Radinac,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2020-02-17,93.61,61.02,83.76,69.93,81.09,102.91,96.1,52.14,10.46,,102.55,140.44,49.82,38.46,80.64,56.6,,63.59,108.45,110.99,162.71,145.63,47.88,
2020-02-18,46.78,55.4,61.41,63.16,63.51,70.99,75.4,36.21,10.82,,70.1,105.31,31.69,33.15,71.65,40.28,,53.6,112.46,101.76,100.83,112.9,41.71,
2020-02-19,55.03,58.66,47.97,45.79,43.26,48.05,32.48,26.08,11.37,,79.15,57.82,19.16,33.33,54.79,79.1,,47.84,96.28,90.68,79.27,88.68,44.61,22.16
2020-02-20,42.44,28.79,25.31,32.48,35.81,42.98,33.95,23.6,6.79,,42.22,50.44,18.41,26.73,53.7,57.7,,37.34,74.36,30.47,70.03,43.79,18.68,9.89
2020-02-21,42.79,28.78,44.16,42.1,44.4,53.53,54.35,26.27,8.91,,37.93,60.8,22.3,20.51,52.97,105.84,,36.79,98.3,69.28,57.67,46.53,21.22,16.48
2020-02-22,31.91,33.76,34.82,32.78,37.94,48.77,49.64,27.23,7.64,,56.55,62.54,21.09,20.14,55.33,101.08,,32.57,68.2,32.47,66.75,55.7,20.86,15.21
2020-02-23,35.54,25.41,57.65,46.54,42.5,49.41,60.55,25.94,12.05,,116.93,149.37,22.54,25.27,53.51,103.8,,54.19,128.76,91.77,132.75,72.91,27.57,13.92
2020-02-24,42.53,36.25,54.12,36.08,48.83,43.41,47.69,28.87,12.71,,110.35,138.07,18.04,30.21,52.22,91.48,,53.81,115.55,74.17,83.08,98.19,29.56,13.92
2020-02-25,67.25,53.06,75.35,38.2,42.39,58.19,59.02,27.59,13.97,,51.18,118.54,21.44,44.68,60.66,29.07,,55.34,129.85,90.51,125.7,103.69,40.44,12.22
2020-02-26,41.39,20.2,38.04,32.61,25.45,34.55,30.73,27.54,11.1,,37.3,102.53,14.01,29.66,32.8,43.58,,39.44,62.76,52.42,55.87,76.02,25.93,18.31
2020-02-27,21.37,19.28,18.53,18.03,17.48,23.66,26.27,8.24,5.59,,39.14,46.24,10.85,15.8,37.93,39.9,,23.61,62.58,23.62,35.39,25.84,17.77,7.33
2020-02-28,15.35,17.43,11.98,12.16,11.12,18.08,16.22,8.98,5.07,,58.66,82.87,9.84,14.65,27.3,52.37,17.22,28.18,56.95,30.09,46.97,47.83,16.32,4.95
2020-02-29,22.84,13.96,19.12,15.39,18.69,24.79,31.23,16.05,6.72,,40.4,69.23,13.03,122.29,32.81,76.72,25.04,23.25,56.23,29.02,64.03,43.61,20.31,9.35
2020-03-01,22.94,12.59,29.11,19.83,20.94,29.35,51.42,13.12,11.71,,55.39,90.03,13.03,15.93,52.97,77.83,21.76,39.37,68.55,47.52,91.22,82.99,42.43,8.97
2020-03-02,18.98,17.3,21.34,13.1,15.07,22.05,33.63,23.52,14.56,,35.88,54.23,9.17,16.11,36.45,29.85,24.85,31.15,,,,95.43,44.43,13.19
2020-03-03,25.17,19.45,28.55,24.45,18.56,30.62,33.33,12.91,17.74,,49.53,38.75,11.48,21.79,47.28,71.22,29.93,28.33,46.22,35.35,37.34,78.24,53.32,
