Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Panc.most,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Gradski park,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Obrenovac Centar,Pancevo Sodara,Paracin,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2011-02-02,212.86,155.39,190.25,190.08,55.02,266.17,45.16,41.28,53.35,17.56,65.26,9.11,6.4,17.79,40.96,30.39,9.53,123.6,52.21,6.12,12.26,47.06,350.58,48.17,90.3,66.12,100.33,61.45,53.27,,125.77,60.89
2011-02-03,29.37,31.81,56.19,50.56,54.16,,17.92,42.9,35.73,19.99,41.75,6.12,8.12,21.76,6.92,31.76,26.44,105.79,27.08,6.54,21.45,44.32,29.91,16.95,26.74,31.51,63.36,41.23,42.61,,138.97,41.36
2011-02-04,30.88,35.54,53.06,45.92,54.96,,12.68,21.52,38.91,17.35,40.7,6.73,7.1,27.41,27.4,16.2,15.62,67.96,75.77,8.28,24.49,129.43,30.51,19.98,27.83,46.6,56.8,69.16,48.89,,86.37,65.48
2011-02-05,62.07,53.74,71.54,99.72,58.59,,76.75,62.55,67.72,22.23,8.35,24.64,10.75,13.77,41.76,16.08,14.21,56.6,64.95,17.02,31.23,178.75,44.8,34.26,21.53,33.35,69.93,43.62,62.46,,140.93,54.11
2011-02-06,42.14,62.31,78.32,119.92,64.61,,11.19,35.79,73.61,14.35,8.48,7.28,7.13,14.81,36.18,14.36,11.93,59.15,51.64,12.92,27.97,136.34,43.06,35.5,15.61,55.2,154.22,45.75,63.04,,135.88,73.49
2011-02-07,56.82,55.85,66.19,131.9,73.25,,7.3,109.62,48.4,24.44,11.87,9.5,7.44,16.18,41.5,16.53,14.31,65.59,56.66,19.32,30.97,152.29,38.94,39.71,14.65,63.71,55.68,72.88,76.16,,181.23,44.95
2011-02-08,47.74,53.91,69.01,105.89,,,212.47,176.84,117.87,23.52,9.81,11.31,8.81,16.9,25.27,19.94,17.73,65.67,50.5,22.92,28.99,199.65,38.23,35.23,16.92,49.24,45.94,63.04,69.93,,109.84,
2011-02-09,21.4,27.48,42.96,45.56,53.69,,10.1,88.46,36.05,13.17,25.59,7.29,6.78,21.85,16.49,23.34,16.68,67.87,28.47,12.44,21.63,163.86,25.72,17.84,21.61,31.88,58.69,44.42,50.64,,93.23,35.66
2011-02-10,32.08,25.86,40.66,53.6,56.51,,6.47,27.64,28.59,10.65,31.84,6.12,9.13,9.38,28.46,21.01,13.07,58.51,34.44,7.85,22.11,100.4,34.45,24.62,17.97,34.57,81.62,58.79,49.74,,117.92,34.01
2011-02-11,44.06,54.05,61.26,82.34,67.25,,11.87,20.63,34.51,39.09,12.35,16.69,6.12,13.11,36.18,12.59,13.55,55.78,53.1,22.2,31.48,40.15,47.07,28.69,14.2,48.3,50.45,54.0,61.77,,102.34,54.48
2011-02-12,24.46,21.49,35.27,27.49,55.05,,6.39,37.56,32.29,10.22,6.9,7.76,6.12,15.73,16.76,18.59,14.56,39.8,27.9,9.89,21.74,25.04,26.56,24.83,11.09,28.68,51.18,31.65,52.57,,44.62,45.7
2011-02-13,38.29,25.71,37.4,40.18,59.69,,43.61,138.52,94.79,27.39,9.39,6.99,6.12,14.73,7.98,33.72,15.22,37.96,21.72,8.67,23.71,31.33,25.46,23.35,24.55,20.52,65.63,32.45,37.96,,146.02,72.41
2011-02-14,21.87,13.72,19.39,25.96,58.97,,277.17,144.31,131.96,40.82,9.29,6.81,7.12,19.14,12.5,38.85,29.18,42.54,17.28,7.75,22.14,29.55,26.84,17.04,22.94,17.71,66.1,48.41,46.47,,89.24,43.86
2011-02-15,29.84,15.77,20.97,23.79,58.56,,6.5,6.5,183.46,26.23,9.6,11.57,6.12,24.48,7.45,7.37,29.95,33.67,21.88,8.98,24.87,25.56,22.27,16.95,16.81,23.18,37.98,18.62,25.84,,29.89,22.07
2011-02-16,36.11,26.15,32.72,26.39,48.13,,8.13,6.12,270.42,8.7,7.49,23.73,6.12,13.32,24.21,12.87,30.65,27.34,25.0,12.27,33.03,20.15,14.02,24.58,6.12,23.34,28.3,22.08,33.86,,37.27,20.47
2011-02-17,27.85,22.75,25.93,24.12,46.93,,31.08,9.79,233.88,11.54,9.3,24.43,6.12,10.6,21.81,14.83,30.26,17.5,22.84,10.19,33.04,50.82,13.68,35.51,6.12,28.89,37.86,49.48,38.29,,27.8,28.56
2011-02-18,36.61,29.44,30.67,32.78,49.35,,65.77,6.86,255.72,12.62,6.43,25.6,6.12,12.19,37.77,7.97,22.79,17.21,15.41,29.99,45.56,23.44,16.27,57.01,6.78,14.15,48.27,32.45,38.49,,39.55,38.97
2011-02-19,39.06,35.71,24.16,35.94,54.28,,27.74,158.84,126.74,6.12,14.43,6.59,23.44,18.95,18.89,6.81,10.77,18.23,15.36,14.21,30.36,10.93,26.8,23.16,14.01,13.69,55.5,9.04,19.95,,83.92,37.9
2011-02-20,12.07,6.44,6.68,11.55,53.97,,31.82,26.75,82.43,6.12,20.77,6.12,16.89,18.17,5.85,6.46,20.26,25.17,44.8,6.12,19.39,14.71,18.33,7.86,10.64,12.37,29.27,14.9,62.16,,42.23,19.72
2011-02-21,52.52,38.66,36.55,36.52,59.21,,7.86,10.29,847.78,6.12,6.12,8.35,7.67,15.95,19.95,6.12,34.57,23.95,27.13,6.12,19.3,17.83,33.19,49.85,7.98,34.92,49.25,11.17,22.97,,26.25,37.54
2011-02-22,22.04,14.06,21.17,15.66,68.93,,6.12,15.66,814.05,6.12,6.12,6.12,9.61,18.1,15.43,6.56,17.57,17.27,8.56,6.12,22.31,11.17,23.96,18.38,11.72,17.42,65.19,18.35,45.86,,36.24,60.72
2011-02-23,17.88,7.12,10.04,8.41,59.35,,74.46,35.58,64.4,6.12,13.01,6.12,28.69,9.79,9.04,7.19,19.7,21.37,10.73,6.12,22.83,14.71,11.9,7.79,12.96,11.57,37.86,22.08,34.68,,41.65,47.99
2011-02-24,26.08,6.12,6.65,15.7,60.73,,6.72,11.48,672.09,8.55,6.12,6.12,15.65,18.29,11.17,10.27,16.77,19.23,13.37,6.97,27.6,10.43,13.49,11.18,14.98,13.11,95.98,16.49,27.82,6.12,34.58,51.1
2011-02-25,22.76,13.8,13.21,25.71,60.6,,7.32,60.47,346.96,7.48,13.85,12.57,26.54,23.24,11.97,10.33,22.63,35.71,19.47,13.19,30.52,18.99,19.89,15.25,21.46,30.2,67.96,20.22,35.71,18.42,48.06,55.71
2011-02-26,41.77,45.25,40.78,59.14,58.22,,81.76,31.46,274.52,16.29,13.28,7.33,7.85,28.51,19.95,12.73,21.98,47.6,33.47,14.54,27.85,22.69,31.74,26.9,37.61,55.46,72.61,26.6,31.65,24.66,49.97,67.24
2011-02-27,56.2,45.06,46.73,42.95,49.17,,11.89,9.06,192.58,17.46,6.4,16.13,6.12,19.47,19.15,7.79,22.51,32.49,30.06,28.96,46.95,22.58,38.22,30.81,12.7,58.13,58.92,23.67,41.86,7.55,42.58,51.22
2011-02-28,37.73,30.58,36.22,26.08,56.49,,7.54,6.12,315.77,11.25,6.12,10.91,6.79,10.98,6.65,6.58,39.67,25.43,88.89,18.53,32.51,17.19,25.62,25.23,6.12,40.7,43.37,13.03,38.3,13.25,34.93,25.9
2011-03-01,52.19,38.11,41.38,36.24,58.07,,9.26,16.89,453.43,11.22,6.12,45.47,7.14,9.49,16.49,9.56,25.1,20.75,33.82,30.66,48.04,23.84,26.01,45.43,6.12,40.14,46.28,13.83,38.24,26.76,32.57,35.97
