Datum,Beograd_Mostar,Kamenicki Vis - EMEP,Kikinda
2015-09-05,14.17,122.63,69.95
2015-09-06,23.89,97.08,77.85
2015-09-07,34.71,92.53,73.51
2015-09-08,21.35,94.93,72.43
2015-09-09,50.85,95.84,93.59
2015-09-10,24.86,97.79,53.20
2015-09-11,3.28,68.15,50.14
2015-09-12,24.94,95.03,75.00
2015-09-13,36.33,95.61,92.10
2015-09-14,24.16,105.18,96.69
2015-09-15,33.26,105.63,97.90
2015-09-16,29.85,104.03,101.15
2015-09-17,19.72,107.88,99.76
2015-09-18,38.44,106.53,93.73
2015-09-19,35.64,113.88,109.40
2015-09-20,16.49,113.75,67.75
2015-09-21,31.23,68.00,84.58
2015-09-22,24.45,83.89,85.73
2015-09-23,32.88,105.13,102.59
2015-09-24,27.26,105.63,105.86
2015-09-25,,92.24,56.28
2015-09-26,6.52,83.39,18.40
2015-09-27,8.28,66.45,54.58
2015-09-28,8.54,48.31,51.00
2015-09-29,3.97,51.63,28.96
2015-09-30,3.59,60.85,51.16
2015-10-01,13.60,73.75,58.93
2015-10-02,19.76,74.26,64.88
2015-10-03,24.95,92.89,88.08
2015-10-04,17.78,99.20,79.81
2015-10-05,,96.11,69.78
2015-10-06,23.47,101.18,42.34
2015-10-07,5.49,101.31,44.96
2015-10-08,20.69,68.95,57.76
2015-10-09,5.39,48.53,57.03
2015-10-10,12.09,47.51,34.68
2015-10-11,,61.80,27.63
2015-10-12,,43.78,39.04
2015-10-13,9.98,44.45,48.09
2015-10-14,18.68,46.04, 
2015-10-15,14.43,45.53, 
2015-10-16,15.74,47.96, 
2015-10-17,,52.90, 
2015-10-18,7.55,50.56, 
2015-10-19,1.96,19.55, 
2015-10-20,5.77,27.90, 
2015-10-21,10.35,70.60, 
2015-10-22,4.81,68.28, 
2015-10-23,8.14,69.71, 
2015-10-24,10.44,71.89, 
2015-10-25,18.13,91.58, 
2015-10-26,7.56,83.34, 
2015-10-27,6.40,55.32, 
2015-10-28,15.34,,60.84
2015-10-29,20.94,,62.73
2015-10-30,24.44,,62.64
2015-10-31,37.04,,59.15
2015-11-01,41.65,,73.01
2015-11-02,18.53,,61.86
2015-11-03,25.20,,49.18
2015-11-04,8.08,,55.70
2015-11-05,8.17,,42.31
2015-11-06,8.64,,17.91
2015-11-07,3.66,,26.61
2015-11-08,3.84,,30.76
2015-11-09,4.18,,46.48
2015-11-10,2.93,,35.59
2015-11-11,8.27,,42.24
2015-11-12,8.90,,45.39
2015-11-13,4.12,,31.13
2015-11-14,4.38,,37.53
2015-11-15,11.66,,46.71
2015-11-16,4.56,,35.24
2015-11-17,4.54,,33.21
2015-11-18,2.19,,39.96
2015-11-19,4.16,,41.79
2015-11-20,3.26,,45.30
2015-11-21,9.84,,26.33
