Datum,Beograd Stari grad,Kamenicki Vis EMEP,Novi Sad Liman,Nis O.s. Sveti Sava,Kikinda
2016-05-12,26.67,85.32,50.92,24.67,60.50
2016-05-13,58.39,96.67,87.19,44.57,
2016-05-14,63.63,95.94,83.26,54.80,
2016-05-15,57.42,99.37,75.79,49.16,
2016-05-16,66.36,81.03,82.17,46.94,
2016-05-17,80.18,111.22,91.02,56.23,
2016-05-18,82.13,115.22,96.50,53.50,
2016-05-19,81.93,124.57,107.82,56.89,
2016-05-20,52.23,110.56,93.50,42.56,
2016-05-21,91.73,91.73,122.00,43.94,
2016-05-22,94.37,111.22,127.22,48.90,
2016-05-23,77.89,113.89,122.67,55.03,
2016-05-24,77.52,106.06,96.96,61.54,
2016-05-25,49.06,90.79,79.64,27.39,
2016-05-26,73.81,115.33,104.91,46.81,
2016-05-27,94.31,124.67,136.89,46.70,
2016-05-28,81.10,127.78,118.44,55.02,
2016-05-29,66.26,117.22,125.10,44.19,
2016-05-30,76.58,98.39,107.30,49.13,
2016-05-31,72.78,104.11,95.14,44.62,
2016-06-01,70.80,104.50,87.39,38.06,
2016-06-02,66.78,96.96,84.14,37.84,
2016-06-03,65.49,103.76,82.94,33.76,
2016-06-04,73.30,100.73,86.73,38.57,
2016-06-05,82.91,96.90,93.14,36.27,
2016-06-06,46.93,98.14,76.30,26.11,92.47
2016-06-07,81.50,82.44,103.97,33.14,99.08
2016-06-08,86.98,87.94,106.76,36.09,100.53
2016-06-09,77.00,98.59,99.31,41.13,93.56
2016-06-10,83.98,109.97,99.68,32.33,82.56
2016-06-11,70.30,108.17,98.12,40.71,92.61
2016-06-12,63.20,94.84,89.62,23.97,78.40
2016-06-13,,,75.02,33.41,50.90
2016-06-14,54.64,95.04,82.61,25.36,77.31
2016-06-15,55.52,89.46,85.59,38.36,74.66
2016-06-16,52.91,93.56,87.06,35.29,78.58
2016-06-17,54.50,93.97,82.69,37.82,76.21
2016-06-18,65.61,105.00,88.63,48.08,77.97
2016-06-19,49.28,89.16,77.77,37.64,62.53
2016-06-20,34.64,84.73,87.18,36.19,56.42
2016-06-21,25.91,79.63,61.29,30.86,48.78
2016-06-22,42.89,88.52,70.54,31.09,64.19
2016-06-23,41.11,94.84,83.80,50.86,76.19
2016-06-24,52.87,99.21,85.62,47.06,74.96
2016-06-25,59.19,101.27,84.21,60.30,75.23
2016-06-26,74.13,108.22,103.32,58.65,86.38
2016-06-27,69.17,107.61,97.44,60.06,83.78
2016-06-28,25.84,105.06,65.51,40.87,62.16
2016-06-29,75.72,108.00,101.37,53.03,92.59
2016-06-30,91.90,119.22,90.64,58.20,99.09
2016-07-01,,119.00,120.11,43.76,108.89
2016-07-02,109.99,113.22,119.63,39.91,103.81
2016-07-03,68.38,114.44,88.35,53.17,79.81
2016-07-04,76.67,106.50,91.00,42.58,89.21
2016-07-05,93.50,104.51,95.56,41.32,90.97
2016-07-06,80.19,112.78,82.30,55.94,85.70
2016-07-07,84.94,112.89,92.73,57.33,95.01
2016-07-08,112.76,130.78,114.78,56.02,103.26
2016-07-09,102.00,143.78,116.22,81.54,110.00
2016-07-10,90.80,140.67,103.67,75.87,99.41
2016-07-11,84.43,124.22,109.44,67.18,83.14
2016-07-12,87.91,120.22,140.44,67.48,105.76
2016-07-13,116.33,121.11,119.33,81.83,119.00
2016-07-14,82.98,125.33,89.63,68.54,96.44
2016-07-15,52.79,97.10,61.49,49.42,69.34
2016-07-16,25.50,78.62,48.06,31.10,46.82
2016-07-17,18.30,66.50,47.18,25.77,34.91
2016-07-18,61.89,89.88,70.27,35.41,75.36
2016-07-19,56.56,91.10,71.96,36.56,64.66
2016-07-20,56.41,94.23,67.69,37.66,64.10
2016-07-21,71.09,109.33,82.54,42.96,81.44
2016-07-22,78.43,110.11,116.48,50.56,87.38
2016-07-23,106.26,128.56,137.44,70.17,97.01
2016-07-24,91.24,129.67,115.44,62.37,91.76
2016-07-25,74.11,140.44,83.80,63.14,83.33
2016-07-26,60.21,107.06,82.04,47.47,68.54
2016-07-27,83.48,121.56,106.12,32.22,103.53
2016-07-28,85.62,124.89,97.87,57.42,100.88
2016-07-29,81.59,119.22,99.42,39.40,95.34
2016-07-30,83.68,126.44,116.33,56.04,99.23
2016-07-31,93.43,120.89,115.89,58.90,94.32
2016-08-01,74.87,122.56,97.80,62.04,96.62
2016-08-02,52.59,116.22,73.70,36.79,70.28
2016-08-03,87.14,121.22,96.09,41.92,82.70
2016-08-04,85.26,121.67,90.01,52.13,80.16
2016-08-05,82.87,117.67,114.33,65.81,94.98
2016-08-06,73.50,118.78,90.69,52.37,68.44
2016-08-07,46.02,59.21,82.24,27.22,78.31
2016-08-08,48.30,62.73,84.08,18.31,83.99
2016-08-09,79.42,90.79,101.10,13.86,89.38
2016-08-10,101.02,119.11,116.43,46.57,98.19
2016-08-11,38.85,110.88,64.17,31.57,57.73
2016-08-12,64.28,94.58,75.01,34.40,80.94
2016-08-13,75.63,108.44,88.44,34.53,85.73
2016-08-14,105.00,109.67,99.29,35.56,78.79
2016-08-15,91.53,109.44,112.67,41.79,87.62
2016-08-16,82.31,115.11,90.84,49.94,84.31
2016-08-17,53.01,110.34,90.01,46.47,64.89
2016-08-18,73.04,105.75,88.27,33.83,88.44
2016-08-19,67.48,101.02,105.17,43.68,85.30
2016-08-20,70.81,110.22,99.58,37.90,91.60
2016-08-21,73.41,121.44,105.27,53.78,100.70
2016-08-22,36.02,122.44,69.83,31.34,55.90
2016-08-23,22.33,58.67,45.66,27.08,74.70
2016-08-24,67.51,68.97,91.74,17.16,91.34
2016-08-25,65.51,93.90,78.62,40.81,76.57
2016-08-26,72.37,106.11,92.73,49.80,83.23
2016-08-27,83.01,109.11,110.18,49.74,93.56
2016-08-28,85.38,119.11,118.14,64.13,97.94
2016-08-29,82.90,126.56,112.93,63.94,92.36
2016-08-30,79.02,134.56,90.46,74.67,96.26
2016-08-31,74.33,125.22,91.12,57.67,86.00
2016-09-01,82.63,113.33,102.03,57.74,96.29
2016-09-02,88.51,121.78,101.23,60.56,115.33
2016-09-03,55.80,134.78,95.69,69.01,105.62
2016-09-04,,130.00,125.40,59.32,107.84
2016-09-05,33.65,122.78,97.57,60.33,74.30
2016-09-06,23.12,72.71,55.63,36.64,53.11
2016-09-07,50.53,87.80,90.68,29.71,80.78
2016-09-08,69.63,115.78,101.70,46.28,93.34
2016-09-09,73.48,117.33,93.18,40.46,92.43
2016-09-10,45.27,110.22,77.68,36.18,85.61
2016-09-11,80.58,121.56,100.81,44.36,87.13
2016-09-12,70.02,124.89,105.51,46.47,87.97
2016-09-13,70.61,119.44,90.12,52.27,68.64
2016-09-14,78.60,120.22,101.61,43.17,90.02
2016-09-15,81.73,119.22,112.99,42.24,101.58
2016-09-16,62.82,121.22,100.63,49.43,92.76
2016-09-17,40.78,106.44,79.06,44.49,70.33
2016-09-18,69.81,96.21,91.11,40.92,78.70
2016-09-19,37.00,89.89,49.41,30.02,53.26
2016-09-20,24.39,81.94,39.49,17.68,61.51
2016-09-21,45.01,81.86,48.68,29.03,58.23
2016-09-22,37.42,89.91,60.77,36.29,57.02
2016-09-23,49.74,91.93,77.73,33.47,77.07
2016-09-24,58.56,104.78,88.92,38.28,81.51
2016-09-25,58.78,105.20,75.18,44.48,68.99
2016-09-26,52.73,101.42,68.08,39.12,63.54
2016-09-27,53.18,91.61,74.21,34.69,73.59
2016-09-28,57.77,110.00,76.23,34.84,82.08
2016-09-29,57.28,112.89,93.33,37.23,89.76
2016-09-30,46.46,121.33,90.56,28.67,97.23
2016-10-01,64.46,119.56,103.36,25.83,98.59
2016-10-02,58.79,120.67,98.12,37.30,93.19
2016-10-03,25.47,114.86,53.02,31.52,47.48
2016-10-04,41.79,78.30,50.91,29.03,31.17
2016-10-05,,72.92,45.66,27.18,49.08
2016-10-06,42.61,63.76,60.79,20.91,43.02
2016-10-07,19.78,62.91,34.70,14.39,34.92
2016-10-08,32.22,57.89,45.42,22.30,46.13
2016-10-09,40.79,64.71,69.50,15.04,60.94
2016-10-10,8.90,66.80,57.34,2.93,57.58
2016-10-11,17.43,54.06,49.14,4.15,23.25
2016-10-12,10.68,40.80,17.26,12.50,10.31
2016-10-13,30.92,80.04,42.24,15.96,31.52
2016-10-14,36.29,80.27,62.77,27.09,44.03
2016-10-15,33.58,72.90,44.79,30.79,42.89
2016-10-16,11.89,67.02,23.96,18.29,17.25
2016-10-17,25.72,50.72,42.42,28.96,42.74
2016-10-18,31.07,55.17,49.64,35.04,56.08
2016-10-19,28.92,56.70,46.01,35.02,45.67
2016-10-20,31.62,45.68,48.99,27.26,53.10
2016-10-21,33.39,60.27,42.30,31.91,36.08
2016-10-22,10.85,54.80,35.42,23.00,38.96
2016-10-23,13.01,62.87,19.20,17.75,31.09
2016-10-24,24.08,61.30,46.69,21.90,41.76
2016-10-25,24.29,58.20,33.72,25.47,36.40
2016-10-26,13.77,44.56,16.41,21.01,30.09
2016-10-27,37.73,39.06,40.79,19.08,45.66
2016-10-28,21.29,50.97,30.41,29.01,41.41
2016-10-29,21.74,71.87,47.42,21.30,30.10
2016-10-30,49.00,79.94,54.86,36.81,53.79
2016-10-31,37.64,79.58,43.16,37.67,47.89
2016-11-01,28.89,78.81,48.50,23.76,47.11
2016-11-02,13.73,90.93,45.12,19.44,43.42
2016-11-03,10.63,80.36,32.66,19.40,34.49
2016-11-04,20.97,69.69,39.83,20.60,31.77
2016-11-05,12.74,78.61,37.18,8.29,31.16
2016-11-06,34.58,75.92,65.22,15.72,46.14
2016-11-07,40.86,73.70,59.97,17.37,45.81
2016-11-08,17.98,78.04,24.75,26.63,15.46
2016-11-09,7.37,56.36,20.51,15.07,20.48
2016-11-10,9.70,61.86,26.17,13.36,22.53
2016-11-11,23.03,85.01,54.40,21.92,20.82
2016-11-12,22.97,76.66,47.12,33.57,24.49
2016-11-13,30.94,61.18,37.58,31.00,29.97
2016-11-14,31.57,56.83,34.38,26.11,36.27
2016-11-15,34.72,50.07,42.52,23.53,40.72
2016-11-16,17.06,71.14,40.90,27.68,41.83
2016-11-17,10.80,86.97,19.71,18.75,32.49
2016-11-18,21.49,84.18,42.66,10.22,44.30
2016-11-19,42.97,82.03,62.49,22.54,57.41
2016-11-20,42.79,78.33,62.49,41.20,50.71
2016-11-21,44.31,70.04,65.82,41.26,51.61
2016-11-22,40.57,63.39,57.21,38.64,47.00
2016-11-23,30.42,51.82,40.70,29.44,40.23
2016-11-24,12.92,62.62,27.39,19.44,32.71
2016-11-25,5.33,69.18,17.06,12.49,17.94
2016-11-26,14.51,68.07,34.23,6.22,24.68
2016-11-27,7.04,56.83,16.10,5.69,10.65
2016-11-28,37.37,59.36,42.62,5.66,34.64
2016-11-29,27.27,54.72,30.64,5.68,34.98
2016-11-30,18.09,53.73,38.11,5.66,28.81
2016-12-01,13.39,64.17,48.12,5.67,25.87
2016-12-02,31.32,73.74,36.00,5.67,43.40
2016-12-03,25.32,76.86,45.01,5.69,39.52
2016-12-04,24.75,87.68,50.48,5.69,33.58
2016-12-05,9.26,81.84,39.70,5.61,27.79
2016-12-06,7.66,77.73,32.66,5.64,20.27
2016-12-07,7.86,75.30,22.18,5.67,26.90
2016-12-08,5.93,75.29,19.63,5.70,28.11
2016-12-09,4.98,88.70,17.81,5.69,13.02
2016-12-10,5.00,94.80,23.58,5.67,37.94
2016-12-11,12.37,91.50,41.46,5.71,39.88
2016-12-12,13.83,78.56,45.94,5.64,35.27
2016-12-13,40.45,61.47,41.10,5.60,42.22
2016-12-14,17.27,72.32,31.44,5.68,25.69
2016-12-15,12.86,67.02,15.58,5.61,12.71
2016-12-16,7.90,44.26,23.36,5.69,13.09
2016-12-17,7.82,60.36,23.76,,17.69
2016-12-18,14.18,73.23,21.44,,20.92
2016-12-19,15.62,90.28,31.36,,26.98
2016-12-20,20.84,70.89,44.34,,26.58
2016-12-21,18.86,66.42,31.48,,21.99
2016-12-22,14.34,64.47,30.34,,18.20
2016-12-23,18.30,41.29,20.19,,20.31
2016-12-24,6.99,52.49,18.59,,17.00
2016-12-25,5.36,56.71,16.40,,13.24
2016-12-26,3.25,59.01,31.52,,18.16
2016-12-27,,70.09,46.57,,46.78
2016-12-28,,67.74,48.52,,53.72
2016-12-29,,62.68,35.74,,43.82
2016-12-30,28.18,53.28,35.53,,26.66
2016-12-31,14.82,62.13,42.16,,6.78
