Datum,Novi Sad SPENS,Beograd Stari grad,Beograd Novi Beograd
2016-6-5,8,9,9
2016-6-6,12,12,13
2016-6-7,7,8,7
2016-6-8,7,10,8
2016-6-9,8,8,8
2016-6-10,16,12,13
2016-6-11,13,10,11
2016-6-12,,,
2016-6-13,,,
2016-6-14,7,7,7
2016-6-15,8,8,8
2016-6-16,7,6,5
2016-6-17,12,10,9
2016-6-18,6,7,7
2016-6-19,7,10,9
2016-6-20,15,12,12
2016-6-21,14,16,17
2016-6-22,17,17,16
2016-6-23,18,19,19
2016-6-24,22,21,22
2016-6-25,18,17,20
2016-6-26,15,13,13
2016-6-27,9,10,11
2016-6-28,11,12,12
2016-6-29,9,10,10
2016-6-30,,13,
2016-7-1,,18,
2016-7-2,24,25,25
2016-7-3,15,17,16
2016-7-4,6,6,5
2016-7-5,6,8,8
2016-7-6,13,12,12
2016-7-7,7,6,4
2016-7-8,6,8,8
2016-7-9,9,8,9
2016-7-10,8,8,6
2016-7-11,9,10,10
2016-7-12,12,10,8
2016-7-13,15,14,12
2016-7-14,9,10,9
2016-7-15,6,2,3
2016-7-16,3,,
2016-7-17,9,,6
2016-7-18,8,7,6
2016-7-19,9,10,9
2016-7-20,7,8,8
2016-7-21,6,8,8
2016-7-22,9,10,11
2016-7-23,16,16,16
2016-7-24,23,23,22
2016-7-25,16,11,11
2016-7-26,13,14,17
2016-7-27,14,17,17
2016-7-28,17,18,16
2016-7-29,16,17,17
2016-7-30,12,15,14
2016-7-31,10,9,10
2016-8-1,9,8,8
2016-8-2,10,9,8
2016-8-3,7,7,6
2016-8-4,8,11,10
2016-8-5,13,9,8
2016-8-6,9,9,9
2016-8-7,7,7,7
2016-8-8,11,11,11
2016-8-9,19,17,17
2016-8-10,17,16,15
2016-8-11,12,9,9
2016-8-12,10,9,9
2016-8-13,8,11,10
2016-8-14,7,13,12
2016-8-15,18,14,17
2016-8-16,15,17,15
2016-8-17,,18,19
2016-8-18,,18,17
2016-8-19,18,14,13
2016-8-20,20,11,13
2016-8-21,19,16,15
2016-8-22,8,6,5
2016-8-23,13,15,14
2016-8-24,12,11,10
2016-8-25,12,12,11
2016-8-26,19,18,19
2016-8-27,17,12,17
2016-8-28,14,12,15
2016-8-29,17,14,16
2016-8-30,17,18,17
2016-8-31,13,9,8
2016-9-1,14,16,16
2016-9-2,14,16,16
2016-9-3,,18,
2016-9-4,,21,
2016-9-5,,17,17
2016-9-6,,13,15
2016-9-7,,15,15
2016-9-8,,16,15
2016-9-9,,19,19
2016-9-10,,25,24
2016-9-11,,19,18
2016-9-12,,17,19
2016-9-13,,20,20
2016-9-14,,24,23
2016-9-15,,30,31
2016-9-16,,25,31
2016-9-17,,13,11
2016-9-18,,8,6
2016-9-19,,8,9
2016-9-20,,18,17
2016-9-21,,16,14
2016-9-22,,15,15
2016-9-23,,18,19
2016-9-24,,23,21
2016-9-25,,26,23
2016-9-26,,22,21
2016-9-27,,20,24
2016-9-28,,27,28
2016-9-29,,35,32
2016-9-30,,44,46
2016-10-1,,36,36
2016-10-2,,35,38
2016-10-3,,13,13
2016-10-4,,4,
2016-10-5,,6,
2016-10-6,,12,9
2016-10-7,,26,25
2016-10-8,,26,27
2016-10-9,,45,36
2016-10-10,,44,48
2016-10-11,,30,29
2016-10-12,,13,13
2016-10-13,,14,14
2016-10-14,,19,18
2016-10-15,,20,19
2016-10-16,,32,37
2016-10-17,,,5
2016-10-18,,7,8
2016-10-19,,12,14
2016-10-20,,11,13
2016-10-21,,10,13
2016-10-22,,20,23
2016-10-23,,30,28
2016-10-24,35,15,15
2016-10-25,29,16,15
2016-10-26,23,16,14
2016-10-27,21,21,20
2016-10-28,32,43,24
2016-10-29,40,45,39
2016-10-30,20,24,15
2016-10-31,30,33,27
2016-11-1,36,39,30
2016-11-2,36,43,44
2016-11-3,17,12,12
2016-11-4,21,35,29
2016-11-5,32,30,33
2016-11-6,15,9,11
2016-11-7,19,20,19
2016-11-8,25,16,16
2016-11-9,30,21,20
2016-11-10,33,43,45
2016-11-11,29,43,46
2016-11-12,16,14,14
2016-11-13,26,19,17
2016-11-14,29,27,22
2016-11-15,29,36,22
2016-11-16,48,53,45
2016-11-17,70,84,82
2016-11-18,45,60,69
2016-11-19,35,25,25
2016-11-20,27,21,21
2016-11-21,21,15,16
2016-11-22,24,19,18
2016-11-23,29,24,23
2016-11-24,61,66,66
2016-11-25,88,101,92
2016-11-26,54,49,46
2016-11-27,55,32,38
2016-11-28,15,14,8
2016-11-29,30,22,18
2016-11-30,33,37,33
2016-12-1,24,37,31
2016-12-2,23,29,26
2016-12-3,28,33,26
2016-12-4,39,58,69
2016-12-5,64,,61
2016-12-6,87,,85
2016-12-7,61,47,44
2016-12-8,106,,82
2016-12-9,99,,113
2016-12-10,76,,95
2016-12-11,95,,132
2016-12-12,,,
2016-12-13,,23,
2016-12-14,71,49,43
2016-12-15,66,,57
2016-12-16,53,51,45
2016-12-17,54,44,
2016-12-18,39,,
2016-12-19,34,39,
2016-12-20,26,28,
2016-12-21,40,39,33
2016-12-22,39,31,27
2016-12-23,45,32,25
2016-12-24,39,34,33
2016-12-25,55,,53
2016-12-26,41,,48
2016-12-27,,,
2016-12-28,,8,
2016-12-29,21,15,
2016-12-30,34,33,26
2016-12-31,50,,63
